,Unnamed: 0,id,source,sentence_1,sentence_2,label,binary-label
29,145,boostcamp-sts-v1-train-145,petition-rtt,[제발]이명박 개별청원하지 마시고 추천수로 정렬하셔서 3만명대 나오는 청원에 참여하셔야 참여자올라갑니다.,"[부탁] 이명박을 개별적으로 청원하지 않고 추천 인원 순으로 정렬하여 청원에 30,000명과 함께 참여하여 참여 인원을 늘립니다.",4.5,1.0
30,146,boostcamp-sts-v1-train-146,slack-rtt,배터리 우려때문에 그러는지.,배터리 문제 때문입니까?,2.8,1.0
31,148,boostcamp-sts-v1-train-148,slack-rtt,어린이날에 산 선인장이 왔어요,어린이날에 구입한 선인장이 왔어요.,4.6,1.0
32,153,boostcamp-sts-v1-train-153,nsmc-rtt,결론은 완전 노잼.,결론은 완전히 난센스다.,1.8,0.0
33,157,boostcamp-sts-v1-train-157,petition-sampled,수시전형 고려부탁요,수시 전형이 꼭 필요합니다.,2.6,1.0
34,167,boostcamp-sts-v1-train-167,petition-rtt,학생들도 투표에 참여 할 수 있게 해야 합니다.,학생도 투표에 참여할 수 있어야 합니다.,4.5,1.0
35,170,boostcamp-sts-v1-train-170,slack-sampled,간만의 셋째 고양이 자랑,고양이 자랑 많이 해주세요!,1.4,0.0
36,174,boostcamp-sts-v1-train-174,nsmc-sampled,잘보고 왔습니다 감사합니다 ^^,정말 재미있어요.^^!,2.0,0.0
37,175,boostcamp-sts-v1-train-175,petition-rtt,반드시 특검 바랍니다.,꼭 특별점검을 해주세요.,1.4,0.0
38,176,boostcamp-sts-v1-train-176,petition-rtt,선거유세 차량 소음공해,선거운동 차량 소음 공해,4.4,1.0
39,177,boostcamp-sts-v1-train-177,petition-rtt,나경원 의원 평창 올림픽 위원직 파면,나경원 평창올림픽위원회 해임,4.4,1.0
40,185,boostcamp-sts-v1-train-185,nsmc-sampled,제목에 낚이지마시길...,댓글에 속은...,1.4,0.0
41,188,boostcamp-sts-v1-train-188,nsmc-sampled,뭐가 이렇게 허접하다냐,왜 이렇게 어설픈 영화가 있지?,2.0,0.0
42,189,boostcamp-sts-v1-train-189,slack-sampled,이게 보다보니 회사 생각이 많이 납니다.,보시면 저희 회사랑 비슷한 부분이 많아서 공유드립니다.,2.0,0.0
43,192,boostcamp-sts-v1-train-192,petition-rtt,교육에 신경 좀 써주세요,교육에 관심을 가져주세요.,4.4,1.0
44,194,boostcamp-sts-v1-train-194,petition-sampled,실명 청원과 책임답변 바랍니다.,청와대 청원에 제대로 답하시오.,2.6,1.0
45,195,boostcamp-sts-v1-train-195,petition-rtt,"지금의 한국이 비상시국임에도 허위사실유포,진실은폐로 국민을 개돼지로 만드는자들 방송 언론 네이버 다음 신문 대표 구속 촉구합니다.","허위사실 유포로 국민 불안감을 조성, 선동하는 행위에 대해 강경한 처벌을 바랍니다.",1.8,0.0
46,205,boostcamp-sts-v1-train-205,petition-sampled,"한국인 연금 으로 - 군인 ,교직원 사학, 국민연금 모두 합쳐서 새롭게",국민연금에 손대기 전에 사학 공무원 군인연금부터 개혁하고 국민연금을 만질 것을.,2.2,0.0
47,207,boostcamp-sts-v1-train-207,nsmc-sampled,심심할 때 보기에 좋다 재밌었다.,어른이 봐도 재밌었어.,2.8,1.0
48,208,boostcamp-sts-v1-train-208,petition-sampled,국회 특별활동비 공개하고 반납해주세요,"국회, 검찰, 국정원 등 특활비 내역 공개 및 특활비 제도 개선",2.2,0.0
49,210,boostcamp-sts-v1-train-210,nsmc-sampled,진짜 이영화는 현실을 잘 반영했다,썩은 현실을 잘 반영한 수작!,2.8,1.0
50,218,boostcamp-sts-v1-train-218,petition-sampled,동물보호법 강화 및 개선,동물보호법 강화를 희망합니다.,2.8,1.0
51,220,boostcamp-sts-v1-train-220,slack-sampled,꼭 공연 보시고 후기 알려주세요,혹시 강의 일부에 참여하시면 리뷰 부탁드립니다.,1.4,0.0
52,223,boostcamp-sts-v1-train-223,petition-sampled,장관급인사는 재산공개하자,고위 공직자의 재산 공개를 법으로 규제하자,2.2,0.0
53,224,boostcamp-sts-v1-train-224,petition-rtt,꽃에 물을 줘야합니다~,꽃에 물을 줘야 해요!,4.6,1.0
54,226,boostcamp-sts-v1-train-226,nsmc-rtt,"그런거 보면,배우란,해내면,참 좋은 직업갖기도 하고,실제 현장에서,고생하는거 보면,아닌것 같기도 하고...배우일이 아무리 고단해봐야,아무리 노가다만 할까?",그러고 보니 배우가 생기면 정말 좋은 직업을 가질 때도 있고 현실에서 열심히 하는 모습을 보면 별거 아닌 것 같기도 하고.,2.8,1.0
55,235,boostcamp-sts-v1-train-235,petition-rtt,대한민국 국민들이 궁금해 하고 있습니다.,한국인은 호기심이 많습니다.,2.0,0.0
56,236,boostcamp-sts-v1-train-236,petition-sampled,나이가 많은 청년들이 살수있게 햐주세요,청년들이 살기 좋은 나라로 만들어 주세요.,2.0,0.0
57,244,boostcamp-sts-v1-train-244,nsmc-sampled,줄거리가 완전 스포일러. 엔딩까지 다 나와있네..,흔한 줄거리 뻔한 반전에 어이가 없지만 영화가 끝난다. 헤헤^^,2.0,0.0
58,250,boostcamp-sts-v1-train-250,petition-sampled,이민 가고 싶네요.,다들 이민 갑시다.,2.4,0.0
59,251,boostcamp-sts-v1-train-251,slack-sampled,저두 날짜 당겨졌더라구요 ㅠㅠ,"아, 저도 알림 없이 끌려갔어요.",2.8,1.0
60,253,boostcamp-sts-v1-train-253,nsmc-sampled,화성인프로만 나오면 바로 채널돌리게 되네요^^,생각 없이 채널을 바꿔서 여러 번 보게 되었는데 최고예요!,1.4,0.0
61,259,boostcamp-sts-v1-train-259,petition-rtt,오토바이(이륜차) 보행자 횡단보도 사용금지 입법 조치,횡단보도에서의 오토바이 사용을 금지하는 입법 조치,4.8,1.0
62,262,boostcamp-sts-v1-train-262,nsmc-sampled,현실성없는 상투적인 결말,뭘 하자는 건지 알 수 없는 결말,1.4,0.0
63,270,boostcamp-sts-v1-train-270,slack-sampled,"그래서인지 'NF'를 보유한 분들과 잘 맞는 편이고, ENFP 친구들이 특히 많다고 하시네요~",네네 ENFP 정말 많네요.,1.6,0.0
64,280,boostcamp-sts-v1-train-280,nsmc-rtt,기대하고 봣는데 기대이하인것아요,기대했지만 기대 이하입니다.,4.4,1.0
65,281,boostcamp-sts-v1-train-281,nsmc-sampled,소재와 스토리의 완벽한 조화,스토리와 영상미의 완벽한 조화,2.0,0.0
66,284,boostcamp-sts-v1-train-284,slack-sampled,정말 즐거웠어요~~~~~~,정말 즐거웠습니다.~~~,4.6,1.0
67,286,boostcamp-sts-v1-train-286,petition-rtt,국민연금 중도반환도 검토해주세요,국민연금의 중기 신고를 확인해 주세요.,2.2,0.0
68,289,boostcamp-sts-v1-train-289,slack-rtt,당 충전 지원비 지지합니다!!,충전 지원비를 지원합니다!!,2.8,1.0
69,293,boostcamp-sts-v1-train-293,slack-rtt,우악 넘 산뜻한 이느낌 무엇 두분 함께 흥분출끼발산하시면 오피스 쯤은 가벼이 들었다 놓으실 것 같은 느낌이여요 ㅎㅎㅎ,"와, 이 상큼한 기분. 둘이서 같이 즐기면 사무실도 해방될 것 같은 느낌 ㅋㅋ",2.6,1.0
70,297,boostcamp-sts-v1-train-297,nsmc-rtt,두명이서이렇게끌고나갈수있다니!,두 사람이 이렇게 끌 수 있습니다!,2.2,0.0
71,298,boostcamp-sts-v1-train-298,slack-rtt,앗 저는 권한이 없는지 안 보이는 것 같네요 ㅠㅠ,"아, 허락을 받았는지 안 보이네요.",2.8,1.0
72,301,boostcamp-sts-v1-train-301,petition-sampled,그린벨트풀지말고 금리를 인상하시라구요,제발 그린벨트 해제는 그만두세요!!!,1.8,0.0
73,302,boostcamp-sts-v1-train-302,petition-sampled,국회의원 축소법 발의 해주세요!!!,국회의원 급여를 최저시급으로 적용해주세요!!!,1.4,0.0
74,307,boostcamp-sts-v1-train-307,slack-rtt,엇 넵 바로 아시는군요 ..!,"아, 네, 금방 알 수 있어요.",2.8,1.0
75,312,boostcamp-sts-v1-train-312,petition-sampled,여학생 겨울 교복 통일화,중고등학생 교복 자유화 교복 자유화,1.5,0.0
76,313,boostcamp-sts-v1-train-313,slack-sampled,호호… 자주 얘기 더해요,"호호야, 어쨌든. 티타임 자주 해요.",1.4,0.0
77,315,boostcamp-sts-v1-train-315,nsmc-sampled,내 불면증을 해결해줌.,불면증이 있는 분들에게 추천.,2.6,1.0
78,328,boostcamp-sts-v1-train-328,petition-rtt,산재근로자 비급여 인정과 사업주 형사책임,무급 근로 재산 및 사용자의 형사책임 인정,1.6,0.0
79,335,boostcamp-sts-v1-train-335,nsmc-sampled,나름 잘 짜여진 구성.,"잘 짜인 시나리오, 재미있는 이야기, 유려한 편집",2.6,1.0
80,340,boostcamp-sts-v1-train-340,petition-sampled,정말로 부탁드려요 한번만 더,부탁드려요 한 번만 읽어주세요.,2.6,1.0
81,342,boostcamp-sts-v1-train-342,petition-rtt,정형식판사 감사요청,정형식(鄭形植),5.0,1.0
82,347,boostcamp-sts-v1-train-347,nsmc-sampled,ㅋㅋ 재미겠네요..,"오, 재미있네. ㅋㅋ",1.8,0.0
83,351,boostcamp-sts-v1-train-351,petition-sampled,김보람 박지우 국대 박탈,김보름 박지성 국가대표 박탈,4.6,1.0
84,355,boostcamp-sts-v1-train-355,slack-sampled,함께 해서 행복했습니다,함께 할 수 있어서 정말 기쁩니다. 앞으로 잘 부탁드리겠습니다。,2.4,0.0
85,358,boostcamp-sts-v1-train-358,petition-sampled,이병박 출국금지 청원 합니다.,이명박 출국금지 청원합니다.,5.0,1.0
86,360,boostcamp-sts-v1-train-360,petition-rtt,저희 같은 판매 영업직도 쉬게 해주세요,저희 같은 영업사원은 잠시 쉬도록 하세요.,2.5,1.0
87,363,boostcamp-sts-v1-train-363,petition-rtt,난민문제와 해결에 조금이나마 도움을 주고자 좋은 아이디어를 건의드립니다,난민 문제를 해결하고 해결하는 데 도움이 되는 몇 가지 좋은 아이디어를 제안하고 싶습니다.,4.4,1.0
88,368,boostcamp-sts-v1-train-368,nsmc-sampled,유느님 광팬이예요 런닝맨맴버 중에서 유재석이 광팬이예요,런닝맨의 열렬한 팬입니다.,1.8,0.0
89,369,boostcamp-sts-v1-train-369,petition-sampled,소년법 청소년보호법 폐지,청소년보호법 폐지 교사 인권보호,2.6,1.0
90,370,boostcamp-sts-v1-train-370,petition-sampled,취약 계층 예금 지원,저소득층 생활수급자 예금 적금 민원,1.8,0.0
91,373,boostcamp-sts-v1-train-373,nsmc-sampled,"시나리오 굿. 볼만해요,",재밌네요 굿,2.0,0.0
92,374,boostcamp-sts-v1-train-374,petition-sampled,축구협회 / 국가대표감독 / 특정선수 감사 청원합니다,"축구 협회 선수, 감독 선발 과정의 투명화를 청원합니다.",1.4,0.0
93,379,boostcamp-sts-v1-train-379,slack-sampled,저도 손 들어봅니다 ..!,저도 손들어볼게요.,4.4,1.0
94,382,boostcamp-sts-v1-train-382,petition-sampled,사회복무요원의 자리를 늘려주세요,사회복무요원이 설자리를 만들어 주세요.,2.6,1.0
95,384,boostcamp-sts-v1-train-384,petition-rtt,"가상화폐를 법의 테두리 안으로! 규제 필요, 금지 반대!",법의 테두리 안에서 암호화폐! 규제도 금지도 필요 없어요!,2.8,1.0
96,386,boostcamp-sts-v1-train-386,nsmc-sampled,"내가 지금껏본 로맨스영화중 거의 일순위로 정말 달달하고,내용도 좋고,감동과 깨닫음까지 있는 영화이다.",알 바 아닌데 이거 진짜... 내가 대작 본 영화 중에 최고로 들어가는 감동의 영화..,1.6,0.0
97,387,boostcamp-sts-v1-train-387,slack-rtt,퐈이야!! 잘 마치시고 재충전타임 꼭 가지셨으면 좋겠어요~,즐거운 시간 보내세요. 재충전의 시간을 보내세요!,2.2,0.0
98,389,boostcamp-sts-v1-train-389,slack-sampled,"코로나를 극복한 뒤, 우리 회사 워크샵을 치앙마이에서 하는 그날을 기대해봅니다 ㅎㅎ",개인적으로 일식을 너무 좋아해서 코로나가 빨리 진정되고 일본에서 워크숍을 하는 날을 기대하고 있습니다.,2.0,0.0
99,396,boostcamp-sts-v1-train-396,nsmc-sampled,이번주 소맥이모왜방송안한거죠기대하고있었는데,왜 방송 안 했는지 알려주세요.,1.8,0.0
100,412,boostcamp-sts-v1-train-412,petition-sampled,p2p투자 사기업체 펀딩플랫폼 피해자입니다,P2P 업체 루프 펀딩에 대한 철저한 지도감독으로 투자자 손실 방지 건의,1.5,0.0
101,414,boostcamp-sts-v1-train-414,petition-sampled,무주택자는 중도금대출 하게해주세요.,9.13 이전 분양권은 중도금 대출을 해주셔야 합니다.,1.8,0.0
102,416,boostcamp-sts-v1-train-416,petition-sampled,무분별한 me too무고죄여부도 수사해 처벌바랍니다,성폭력 사건 친고죄 부활 성폭력 무고죄 강력 처벌 청원합니다,1.8,0.0
103,420,boostcamp-sts-v1-train-420,nsmc-sampled,스쿨오브락처럼 즐겁게 볼수있는 영화..,끝까지 키득키득 웃으면서 볼 수 있는 영화.,2.0,0.0
104,424,boostcamp-sts-v1-train-424,petition-sampled,"모든 연금(국민연금, 공무원연금 등등)을 통합 해야 합니다.",국민연금과 공무원 사학 등. 연금 개혁 지금부터라도 통폐합 및 개혁 시행합시다.,2.4,0.0
105,429,boostcamp-sts-v1-train-429,nsmc-sampled,지루함을 견딜수 있다면..,그래도 심심할 때 보면 좀 더 지루해질 수 있는 영화,2.0,0.0
106,430,boostcamp-sts-v1-train-430,nsmc-sampled,영화가 날 어색하게 만든다,배우들의 연기가 어색한 영화는 많이 보았지만 스토리까지 어색한 영화는 처음 봤다.,1.8,0.0
107,431,boostcamp-sts-v1-train-431,petition-sampled,무료급식 및 무료 교통비,"고등학교 무상교육, 급식비 무상교육",2.6,1.0
108,434,boostcamp-sts-v1-train-434,petition-sampled,기초의원 무보수로 하라,국회의원 월급을 무보수로 하고 싶어요.,2.2,0.0
109,437,boostcamp-sts-v1-train-437,nsmc-sampled,실감나는 현실적 영화..,살아있는 영화...,1.8,0.0
110,441,boostcamp-sts-v1-train-441,petition-sampled,대한항공 검찰이 수사하라,대한항공 세무조사해주세요.,1.4,0.0
111,448,boostcamp-sts-v1-train-448,petition-rtt,제주도 가정용lpg통가스보일러,제주도 가정용 LPG 톤 가스보일러,5.0,1.0
112,449,boostcamp-sts-v1-train-449,petition-sampled,출산장려를 위한 아파트 공급,출산 장려를 위한 수당 통합 제란,1.4,0.0
113,452,boostcamp-sts-v1-train-452,slack-rtt,요즘이라기엔 작년 포스팅이지만 노래들이 다 좋은..!,요즘은 작년 포스팅인데 노래가 다 좋네.,3.5,1.0
114,454,boostcamp-sts-v1-train-454,petition-sampled,소년법 소년법 소년법 폐지 원합니다,소년법 폐지 청소년 보호법이 아니라 소년법 폐지입니다.,1.8,0.0
115,456,boostcamp-sts-v1-train-456,nsmc-sampled,올해 최고 걸작인듯,영웅물 중 최고 걸작이라 할 수 있다.,2.4,0.0
116,461,boostcamp-sts-v1-train-461,nsmc-sampled,아진짜 짜증나 대체뭐가슬픈데 !!!,"아, 진짜 짜증 나. 정말로.",2.6,1.0
117,463,boostcamp-sts-v1-train-463,slack-sampled,집돌이 집순이의 공감으로 시작해서 크라프마가 이야기로 넘어가서 재택 근무 이야기까지 아주 다양한 이야기로 시간 가는 줄 모르고 이야기를 나눴습니다,"우리 회사에서의 생활과 앞으로의 생활, 그리고 디자인 직무에 대한 이야기로 시간 가는 줄 모르고 즐겁게 이야기했습니다.",2.4,0.0
118,465,boostcamp-sts-v1-train-465,petition-rtt,어린이집 유치원 초등학교 중학교 고등학교 각학원에 청원경찰 2명씩 배치 의무화해주시고 등하교시 얼굴인식하도록 의무화해서 기록 남기도록 위반시 벌금 100만원씩 부과토록 해주세요,"어린이집, 유치원, 초등학교, 중학교, 고등학교에 각 학원에 2명의 경찰관을 의무화합니다.",2.8,1.0
119,468,boostcamp-sts-v1-train-468,nsmc-sampled,마지막 장면에서 왜 그리 아빠가 생각나는지~~,마지막 장면에서 아빠의 그 눈빛(울음),2.0,0.0
120,472,boostcamp-sts-v1-train-472,nsmc-sampled,나이에 상관없이 즐기고 감동받을 수 있는 대작..^^,매력 있는 영화...^^,1.4,0.0
121,474,boostcamp-sts-v1-train-474,petition-sampled,온라인게임 배틀그라운드 환불요청,배틀그라운드 게임 운영 및 관리에 관한 청원,1.6,0.0
122,476,boostcamp-sts-v1-train-476,petition-sampled,국토 그린벨트를 풀어주세요.,서울시 관악구 그린벨트의 해제가 시급합니다.,2.4,0.0
123,480,boostcamp-sts-v1-train-480,nsmc-sampled,내면의 욕망을 야한 장면 없이 잘 그려낸 영화.,사람의 욕망을 너무 미려하고 당연하게 감싼 영화.,1.6,0.0
124,487,boostcamp-sts-v1-train-487,petition-sampled,정형식 판사 의심스럽다 파면,정현식 판사의 파면을 요구합니다.,2.8,1.0
125,489,boostcamp-sts-v1-train-489,petition-sampled,연금을 통합하자~!,연금을 국민연금에 통합하자.,2.6,1.0
126,490,boostcamp-sts-v1-train-490,slack-sampled,담에 또 뵈면 더 찐한 러시아 얘기 부탁드려요.,다음에 또 다른 재미있는 이야기로 만나요.,2.4,0.0
127,496,boostcamp-sts-v1-train-496,petition-sampled,토지 공개념에 대하여,토지공개념에 반대합니다.,1.4,0.0
128,499,boostcamp-sts-v1-train-499,petition-sampled,이명박 출국금지신청,이명박 출국 금지 신청,4.8,1.0
129,500,boostcamp-sts-v1-train-500,nsmc-rtt,오버하지 않아도 자연스레 느껴지는 감동.,지나치지 않고 자연스럽게 느껴지는 느낌.,2.8,1.0
130,501,boostcamp-sts-v1-train-501,petition-sampled,대한민국 표준시 변경,대한민국 표준시를 30분 조정해주세요.,2.6,1.0
131,506,boostcamp-sts-v1-train-506,slack-sampled,아이스크림 맞습니다 ㅋㅋㅋ,저건 등으로 느끼지 않고 그냥 봐도 아이스크림 같아요.,1.4,0.0
132,509,boostcamp-sts-v1-train-509,petition-sampled,국민여러분 한국을지킵시다.,자유 대한민국을 지킵시다.,2.6,1.0
133,513,boostcamp-sts-v1-train-513,petition-sampled,청소년법 재고 요망,"청소년법 폐지, 청소년법 강화",1.6,0.0
134,517,boostcamp-sts-v1-train-517,slack-rtt,"어제 플랫폼팀 미니 워크샵을 마치고, <PERSON> 님과 함께 맛있는 조개전골을 먹었습니다.",어제 플랫폼팀 미니워크숍을 마치고 <PERSON>과 함께 맛있는 조개탕을 먹었습니다.,4.8,1.0
135,524,boostcamp-sts-v1-train-524,petition-rtt,아트록스 리메이크를 막아주세요.,아틀록스의 리메이크를 멈춰주세요.,4.4,1.0
136,529,boostcamp-sts-v1-train-529,petition-sampled,누구를위한정책인가요,출산정책은 누구를 위한 정책인가요?,2.6,1.0
137,535,boostcamp-sts-v1-train-535,petition-sampled,이재명. 은수미 빨리 사퇴하라,"이재명, 은수미 혼내주세요.",2.2,0.0
138,539,boostcamp-sts-v1-train-539,nsmc-sampled,이냐리투 감독님도 대단합니다!,이냐리투 영화는 믿고 봐도 후회는 없을 것 같아.,1.6,0.0
139,545,boostcamp-sts-v1-train-545,nsmc-sampled,풋풋하고 볼만합니다.,볼만해요. 현실적이고.,2.6,1.0
140,548,boostcamp-sts-v1-train-548,petition-sampled,지방 부동산 거래절벽 대책 세워주세요,"부산 부동산 거래, 제대로… 해결책을 제시해 주세요.",2.4,0.0
141,551,boostcamp-sts-v1-train-551,petition-rtt,우리 보육교사들이 아이들을 잘 보살피고 교육 할수 있는 법적 제도 개편을 요청 합니다!!,우리 보육교사들이 아이들을 잘 돌보고 교육할 수 있도록 법 제도 개혁을 요청합니다!!,4.6,1.0
142,554,boostcamp-sts-v1-train-554,petition-sampled,정영식을 파면하라.한명숙판결과 동일한 잣대를 대하,정형식 판사 파면 12만 명 청원 주소.. 특검과 파면 신청합니다.,1.8,0.0
143,557,boostcamp-sts-v1-train-557,nsmc-rtt,비록 요즘 영화처럼 자극적인 과장은 없지만 황신혜를 향한 안성기의 진심어린 연기에 동정이 가는 배창호감독의 작품성이 엿보이는 영화,최근에는 영화처럼 거창하지는 않더라도 황신혜를 향한 안성기의 솔직한 연기에 배창호 감독의 공감을 엿볼 수 있다.,2.6,1.0
144,558,boostcamp-sts-v1-train-558,petition-rtt,건설 노동자 신혼집 마련하기 어려워요.,건설 노동자를 위한 새 집을 찾는 것은 어렵습니다.,1.8,0.0
145,562,boostcamp-sts-v1-train-562,petition-rtt,공병수거로 피해보는 지역마트들,빈 쓰레기 수거 피해지역 마트,2.0,0.0
146,563,boostcamp-sts-v1-train-563,nsmc-sampled,처음에는 괜찮았는데 중간부터 음....,처음에는 나름대로 좋았는데 아쉽네.,2.2,0.0
147,564,boostcamp-sts-v1-train-564,nsmc-rtt,진저브리짓이라니..의외ㅋ어쩐지동생이늙어보인다니ㅋ,진저 브리짓.. 형이 늙어 보여서 깜짝놀라 ㅋㅋ,2.2,0.0
148,567,boostcamp-sts-v1-train-567,petition-sampled,댓글실명제로 해주세요,1인 1계정만 접속 및 댓글 실명제를 청원합니다.,2.8,1.0
149,569,boostcamp-sts-v1-train-569,slack-sampled,ㅋㅋ 사진은 커피 다 마실때까지 이야기를 나눴다는 뜻입니다,커피 얘기를 좀 더 나눌 걸 그랬네요.,1.4,0.0
150,571,boostcamp-sts-v1-train-571,petition-sampled,재건축초과이익환수제 반대!,재건축 초과이익은 불로소득이다.,2.2,0.0
151,572,boostcamp-sts-v1-train-572,slack-rtt,(게시글 에 조금씩 변화를 주면 되는 것 같기도합니다),(게시물에 약간의 변경이 있을 수 있습니다.),1.8,0.0
152,573,boostcamp-sts-v1-train-573,nsmc-sampled,뭔가 알수 없으면서도 좀 어렵다 싶은 영화..?,좀 이상한 영화...,1.4,0.0
153,575,boostcamp-sts-v1-train-575,nsmc-sampled,단순한 스토리..감동도 없고 뭣도 없어 아무것도..,재미도 없고 감동도 없어..,2.4,0.0
154,581,boostcamp-sts-v1-train-581,nsmc-sampled,깨어잇는자들은알겁니다.,아는 사람은 다 공감할 거예요.,1.8,0.0
155,584,boostcamp-sts-v1-train-584,slack-rtt,혹시 더 안 계신가요 ㅠㅠ,더 있어요?,2.4,0.0
156,586,boostcamp-sts-v1-train-586,petition-sampled,제발 조두순 재심 해주세요.,조두순 재심을 받고 출소인을 늦춰주세요. 제발,2.6,1.0
157,587,boostcamp-sts-v1-train-587,nsmc-sampled,편은 재밌었는데.. 편 왜이래요,편이 너무 웃겨서 판본은 아니지만 굉장히 챙기는...,1.4,0.0
158,593,boostcamp-sts-v1-train-593,nsmc-rtt,프랑스영화치고 진짜 웃기네요!!,프랑스 영화치고는 정말 재밌어!!,4.4,1.0
159,599,boostcamp-sts-v1-train-599,petition-sampled,장애3급장애연금지급,장애 연금 간편 지급에 건,2.2,0.0
